Subject Number,Subject,Review Board,Subject Area,Scientific Discipline,Fachnummer,Fach,Fachkollegium,Fachgebiet,Wissenschaftsbereich
2.23-06,Molecular and Cellular Neurology and Neuropathology,"2.23
Neurosciences","22 
Medicine","2 
Life Sciences",2.23-06,Molekulare und zelluläre Neurologie und Neuropathologie,"2.23
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
2.23-07,Clinical Neurology; Neurosurgery and Neuroradiology,"2.23
Neurosciences","22 
Medicine","2 
Life Sciences",2.23-07,Klinische Neurologie; Neurochirurgie und Neuroradiologie,"2.23
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
2.23-08,Human Cognitive and Systems Neuroscience,"2.23
Neurosciences","22 
Medicine","2 
Life Sciences",2.23-08,Kognitive und systemische Humanneurowissenschaften,"2.23
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
2.23-09,Biological Psychiatry,"2.23
Neurosciences","22 
Medicine","2 
Life Sciences",2.23-09,Biologische Psychiatrie,"2.23
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
2.23-10,"Clinical Psychiatry, Psychotherapy, Child and Adolescent Psychiatry","2.23
Neurosciences","22 
Medicine","2 
Life Sciences",2.23-10,"Klinische Psychiatrie, Psychotherapie und Kinder- und Jugendpsychiatrie","2.23
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
2.23-11,Ophthalmology,"2.23
Neurosciences","22 
Medicine","2 
Life Sciences",2.23-11,Augenheilkunde,"2.23
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
2.31-01,Soil Sciences,"2.31
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",2.31-01,Bodenwissenschaften,"2.31
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
2.31-02,Plant Breeding and Plant Pathology,"2.31
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",2.31-02,"Pflanzenzüchtung, Pflanzenpathologie","2.31
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
2.31-03,"Plant Cultivation, Plant Nutrition, Agricultural Technology","2.31
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",2.31-03,"Pflanzenbau, Pflanzenernährung, Agrartechnik","2.31
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
2.31-04,Ecology of Land Use,"2.31
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",2.31-04,Ökologie der Landnutzung,"2.31
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
2.31-05,"Agricultural Economics, Agricultural Policy, Agricultural Sociology","2.31
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",2.31-05,"Agrarökonomie, Agrarpolitik, Agrarsoziologie","2.31
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
2.31-06,Forestry,"2.31
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",2.31-06,Forstwissenschaften,"2.31
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
2.31-07,"Animal Breeding, Animal Nutrition, Animal Husbandry","2.31
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",2.31-07,"Tierzucht, Tierernährung, Tierhaltung","2.31
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
2.31-08,Veterinary Medical Science,"2.31
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",2.31-08,Tiermedizin,"2.31
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
3.11-01,Inorganic Molecular Chemistry - Synthesis and Characterisation,"3.11 
Molecular Chemistry","31 
Chemistry","3
Natural Sciences",3.11-01,"Anorganische Molekülchemie - Synthese, Charakterisierung","3.11 
Molekülchemie","31 
Chemie","3
Naturwissenschaften"
3.11-02,Organic Molecular Chemistry - Synthesis and Characterisation,"3.11 
Molecular Chemistry","31 
Chemistry","3
Natural Sciences",3.11-02,"Organische Molekülchemie - Synthese, Charakterisierung","3.11 
Molekülchemie","31 
Chemie","3
Naturwissenschaften"
3.12-01,"Solid State and Surface Chemistry, Material Synthesis","3.12
Chemical Solid State and Surface Research","31 
Chemistry","3
Natural Sciences",3.12-01,"Festkörper- und Oberflächenchemie, Materialsynthese","3.12 
Chemische Festkörper- und Oberflächenforschung","31 
Chemie","3
Naturwissenschaften"
3.12-02,"Physical Chemistry of Solids and Surfaces, Material Characterisation","3.12
Chemical Solid State and Surface Research","31 
Chemistry","3
Natural Sciences",3.12-02,"Physikalische Chemie von Festkörpern und Oberflächen, Materialcharakterisierung","3.12 
Chemische Festkörper- und Oberflächenforschung","31 
Chemie","3
Naturwissenschaften"
3.13-01,"Physical Chemistry of Molecules, Liquids and Interfaces, Biophysical Chemistry","3.13 
Physical Chemistry","31 
Chemistry","3
Natural Sciences",3.13-01,"Physikalische Chemie von Molekülen, Flüssigkeiten und Grenzflächen, Biophysikalische Chemie","3.13 
Physikalische Chemie","31 
Chemie","3
Naturwissenschaften"
3.14-01,Analytical Chemistry,"3.14 
Analytical Chemistry","31 
Chemistry","3
Natural Sciences",3.14-01,Analytische Chemie,"3.14 
Analytische Chemie","31 
Chemie","3
Naturwissenschaften"
3.15-01,Biological and Biomimetic Chemistry,"3.15 
Biological Chemistry and Food Chemistry","31 
Chemistry","3
Natural Sciences",3.15-01,Biologische und Biomimetische Chemie,"3.15 
Biologische Chemie und Lebensmittelchemie","31 
Chemie","3
Naturwissenschaften"
3.15-02,Food Chemistry,"3.15 
Biological Chemistry and Food Chemistry","31 
Chemistry","3
Natural Sciences",3.15-02,Lebensmittelchemie,"3.15 
Biologische Chemie und Lebensmittelchemie","31 
Chemie","3
Naturwissenschaften"
3.16-01,Preparatory and Physical Chemistry of Polymers,"3.16 
Polymer Research","31 
Chemistry","3
Natural Sciences",3.16-01,Präparative und Physikalische Chemie von Polymeren,"3.16 
Polymerforschung","31 
Chemie","3
Naturwissenschaften"
3.16-02,Experimental and Theoretical Physics of Polymers,"3.16 
Polymer Research","31 
Chemistry","3
Natural Sciences",3.16-02,Experimentelle und Theoretische Polymerphysik,"3.16 
Polymerforschung","31 
Chemie","3
Naturwissenschaften"
3.16-03,Polymer Materials,"3.16 
Polymer Research","31 
Chemistry","3
Natural Sciences",3.16-03,Polymermaterialien,"3.16 
Polymerforschung","31 
Chemie","3
Naturwissenschaften"
3.17-01,"Theoretical Chemistry: Electron Structure, Dynamics, Simulation","3.17
Theoretical Chemistry","31 
Chemistry","3
Natural Sciences",3.17-01,"Theoretische Chemie: Elektronenstruktur, Dynamik, Simulation","3.17
Theoretische Chemie","31 
Chemie","3
Naturwissenschaften"
3.17-02,"Theoretical Chemistry: Molecules, Materials, Surfaces","3.17
Theoretical Chemistry","31 
Chemistry","3
Natural Sciences",3.17-02,"Theoretische Chemie: Moleküle, Materialien, Oberflächen","3.17
Theoretische Chemie","31 
Chemie","3
Naturwissenschaften"
3.21-01,Experimental Condensed Matter Physics,"3.21
Condensed Matter Physics","32
Physics","3
Natural Sciences",3.21-01,Experimentelle Physik der kondensierten Materie,"3.21
Physik der kondensierten Materie","32
Physik","3
Naturwissenschaften"
3.21-02,Theoretical Condensed Matter Physics,"3.21
Condensed Matter Physics","32
Physics","3
Natural Sciences",3.21-02,Theoretische Physik der kondensierten Materie,"3.21
Physik der kondensierten Materie","32
Physik","3
Naturwissenschaften"
3.22-01,"Statistical Physics, Nonlinear Dynamics, Complex Systems, Soft and Fluid Matter,  Biological Physics","3.22
Statistical Physics, Nonlinear Dynamics, Complex Systems, Soft and Fluid Matter,  Biological Physics","32
Physics","3
Natural Sciences",3.22-01,"Statistische Physik, Nichtlineare Dynamik, Komplexe Systeme, Weiche und fluide Materie, Biologische Physik","3.22
Statistische Physik, Nichtlineare Dynamik, Komplexe Systeme,  Weiche und fluide Materie, Biologische Physik","32
Physik","3
Naturwissenschaften"
3.23-01,"Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas","3.23
Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas","32
Physics","3
Natural Sciences",3.23-01,"Optik, Quantenoptik und Physik der Atome, Moleküle und Plasmen","3.23
Optik, Quantenoptik und Physik der Atome, Moleküle und Plasmen","32
Physik","3
Naturwissenschaften"
3.24-01,"Nuclear and Elementary Particle Physics, Quantum Mechanics, Relativity, Fields","3.24
Particles, Nuclei and Fields","32
Physics","3
Natural Sciences",3.24-01,"Kern- und Elementarteilchenphysik, Quantenmechanik, Relativitätstheorie, Felder","3.24
Teilchen, Kerne und Felder","32
Physik","3
Naturwissenschaften"
3.25-01,Astrophysics and Astronomy,"3.25
Astrophysics and Astronomy","32
Physics","3
Natural Sciences",3.25-01,Astrophysik und Astronomie,"3.25
Astrophysik und Astronomie","32
Physik","3
Naturwissenschaften"
3.31-01,Mathematics,"3.31
Mathematics","33
Mathematics","3
Natural Sciences",3.31-01,Mathematik,"3.31
Mathematik","33
Mathematik","3
Naturwissenschaften"
3.41-01,Atmospheric Science,"3.41
Atmospheric Science, Oceanography and Climate Research","34
Geosciences","3
Natural Sciences",3.41-01,Physik und Chemie der Atmosphäre,"3.41
Atmosphären-, Meeres- und Klimaforschung","34
Geowissen-schaften","3
Naturwissenschaften"
3.41-02,Oceanography,"3.41
Atmospheric Science, Oceanography and Climate Research","34
Geosciences","3
Natural Sciences",3.41-02,"Physik, Chemie und Biologie des Meeres","3.41
Atmosphären-, Meeres- und Klimaforschung","34
Geowissen-schaften","3
Naturwissenschaften"
3.42-01,Geology,"3.42
Geology and Palaeontology","34
Geosciences","3
Natural Sciences",3.42-01,Geologie,"3.42
Geologie und Paläontologie","34
Geowissen-schaften","3
Naturwissenschaften"
3.42-02,Palaeontology,"3.42
Geology and Palaeontology","34
Geosciences","3
Natural Sciences",3.42-02,Paläontologie,"3.42
Geologie und Paläontologie","34
Geowissen-schaften","3
Naturwissenschaften"
3.43-01,Geophysics,"3.43
Geophysics and Geodesy","34
Geosciences","3
Natural Sciences",3.43-01,Physik des Erdkörpers,"3.43
Geophysik und Geodäsie","34
Geowissen-schaften","3
Naturwissenschaften"
3.43-02,"Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartography","3.43
Geophysics and Geodesy","34
Geosciences","3
Natural Sciences",3.43-02,"Geodäsie, Photogrammetrie, Fernerkundung, Geoinformatik, Kartographie","3.43
Geophysik und Geodäsie","34
Geowissen-schaften","3
Naturwissenschaften"
3.44-01,"Mineralogy, Petrology and Geochemistry","3.44
Mineralogy, Petrology and Geochemistry","34
Geosciences","3
Natural Sciences",3.44-01,"Mineralogie, Petrologie und Geochemie","3.44
Mineralogie, Petrologie und Geochemie","34
Geowissen-schaften","3
Naturwissenschaften"
3.45-01,Physical Geography,"3.45
Geography","34
Geosciences","3
Natural Sciences",3.45-01,Physische Geographie,"3.45
Geographie","34
Geowissen-schaften","3
Naturwissenschaften"
3.45-02,Human Geography,"3.45
Geography","34
Geosciences","3
Natural Sciences",3.45-02,Humangeographie,"3.45
Geographie","34
Geowissen-schaften","3
Naturwissenschaften"
3.46-01,"Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management","3.46
Water Research","34
Geosciences","3
Natural Sciences",3.46-01,"Hydrogeologie, Hydrologie, Limnologie, Siedlungswasserwirtschaft, Wasserchemie, Integrierte Wasserressourcen-Bewirtschaftung","3.46
Wasserforschung","34
Geowissen-schaften","3
Naturwissenschaften"
4.11-01,Metal-Cutting and Abrasive Manufacturing Engineering,"4.11 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",4.11-01,Spanende und abtragende Fertigungstechnik,"4.11 
Produktionstechnik","41
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
4.11-02,"Primary Shaping and Reshaping Technology, Additive Manufacturing","4.11 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",4.11-02,"Ur- und Umformtechnik, Additive Fertigungsverfahren","4.11 
Produktionstechnik","41
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
4.11-03,Joining and Separation Technology,"4.11 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",4.11-03,Fügetechnik und Trenntechnik,"4.11 
Produktionstechnik","41
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
4.11-04,Plastics Engineering,"4.11 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",4.11-04,Kunststofftechnik,"4.11 
Produktionstechnik","41
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
4.11-05,"Production Systems, Operations Management, Quality Management and Factory Planning","4.11 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",4.11-05,"Produktionssystematik, Betriebswissenschaften, Qualitätsmanagement und Fabrikplanung","4.11 
Produktionstechnik","41
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
4.11-06,Production Automation and Assembly Technology,"4.11 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",4.11-06,Produktionsautomatisierung und Montagetechnik,"4.11 
Produktionstechnik","41
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
4.12-01,"Engineering Design, Machine Elements, Product Development","4.12
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",4.12-01,"Konstruktion, Maschinenelemente, Produktentwicklung","4.12 
Mechanik und Konstruktiver Maschinenbau","41
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
4.12-02,Mechanics,"4.12
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",4.12-02,Mechanik,"4.12 
Mechanik und Konstruktiver Maschinenbau","41
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
4.12-03,"Lightweight Construction, Textile Technology","4.12
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",4.12-03,"Leichtbau, Textiltechnik","4.12 
Mechanik und Konstruktiver Maschinenbau","41
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
4.12-04,Acoustics,"4.12
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",4.12-04,Akustik,"4.12 
Mechanik und Konstruktiver Maschinenbau","41
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
4.21-01,Chemical and Thermal Process Engineering,"4.21
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",4.21-01,Chemische und Thermische Verfahrenstechnik,"4.21
Verfahrenstechnik, Technische Chemie","42
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
4.21-02,Technical Chemistry,"4.21
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",4.21-02,Technische Chemie,"4.21
Verfahrenstechnik, Technische Chemie","42
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
4.21-03,Mechanical Process Engineering,"4.21
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",4.21-03,Mechanische Verfahrenstechnik,"4.21
Verfahrenstechnik, Technische Chemie","42
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
4.21-04,Biological Process Engineering,"4.21
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",4.21-04,Bioverfahrenstechnik,"4.21
Verfahrenstechnik, Technische Chemie","42
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
4.21-05,Systems Process Engineering,"4.21
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",4.21-05,Systemverfahrenstechnik,"4.21
Verfahrenstechnik, Technische Chemie","42
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
4.22-01,Energy Process Engineering,"4.22
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",4.22-01,Energieverfahrenstechnik,"4.22
Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik","42
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
4.22-02,Technical Thermodynamics,"4.22
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",4.22-02,Technische Thermodynamik,"4.22
Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik","42
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
4.22-03,Fluid Mechanics,"4.22
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",4.22-03,Strömungsmechanik,"4.22
Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik","42
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
4.22-04,Hydraulic and Turbo Engines and Piston Engines,"4.22
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",4.22-04,Strömungs- und Kolbenmaschinen,"4.22
Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik","42
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
4.31-01,"Metallurgical, Thermal and Thermomechanical Treatment of Materials","4.31
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",4.31-01,"Metallurgische, thermische und thermomechanische Behandlung von Werkstoffen","4.31
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
4.31-02,Materials in Sintering Processes and Generative Manufacturing Processes,"4.31
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",4.31-02,Materialien und Werkstoffe der Sinterprozesse und der generativen Fertigungsverfahren,"4.31
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
4.31-03,Coating and Surface Technology,"4.31
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",4.31-03,Beschichtungs- und Oberflächentechnik,"4.31
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
4.31-04,Mechanical Properties of Metallic Materials and their Microstructural Origins,"4.31
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",4.31-04,Mechanische Eigenschaften von metallischen Werkstoffen und ihre mikrostrukturellen Ursachen,"4.31
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
4.31-05,"Glass, Ceramics and Derived Composites","4.31
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",4.31-05,Glas und Keramik und darauf basierende Verbundwerkstoffe,"4.31
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
4.31-06,Polymeric and Biogenic Materials and Derived Composites,"4.31
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",4.31-06,Polymere und biogene Werkstoffe und darauf basierende Verbundwerkstoffe,"4.31
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
4.32-01,Synthesis and Properties of Functional  Materials,"4.32
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences",4.32-01,Herstellung und Eigenschaften von Funktionsmaterialien,"4.32
Materialwissenschaft","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
4.32-02,Biomaterials,"4.32
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences",4.32-02,Biomaterialien,"4.32
Materialwissenschaft","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
4.32-03,Thermodynamics and Kinetics as well as Properties of Phases and Microstructure of Materials,"4.32
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences",4.32-03,Thermodynamik und Kinetik sowie Eigenschaften der Phasen und Gefüge von Werkstoffen,"4.32
Materialwissenschaft","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
