Subject Number,Subject,Review Board,Subject Area,Scientific Discipline,Fachnummer,Fach,Fachkollegium,Fachgebiet,Wissenschaftsbereich
106-04,"Islamic Studies, Arabian Studies, Semitic Studies","106 
Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies","11
Humanities","1 
Humanities and Social Sciences",106-04,"Islamwissenschaften, Arabistik, Semitistik","106 
Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
106-05,Religious Studies and Jewish Studies,"106 
Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies","11
Humanities","1 
Humanities and Social Sciences",106-05,Religionswissenschaft und Judaistik,"106 
Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
107-01,Protestant Theology,"107 
Theology","11
Humanities","1 
Humanities and Social Sciences",107-01,Evangelische Theologie,"107 
Theologie","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
107-02,Roman Catholic Theology,"107 
Theology","11
Humanities","1 
Humanities and Social Sciences",107-02,Katholische Theologie,"107 
Theologie","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
108-01,History of Philosophy,"108 
Philosophy","11
Humanities","1 
Humanities and Social Sciences",108-01,Geschichte der Philosophie,"108 
Philosophie","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
108-02,Theoretical Philosophy,"108 
Philosophy","11
Humanities","1 
Humanities and Social Sciences",108-02,Theoretische Philosophie,"108 
Philosophie","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
108-03,Practical Philosophy,"108 
Philosophy","11
Humanities","1 
Humanities and Social Sciences",108-03,Praktische Philosophie,"108 
Philosophie","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
109-01,General Education and History of Education,"109 
Educational Research","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",109-01,Allgemeine und Historische Erziehungswissenschaft,"109  
Erziehungswissenschaft und Bildungsforschung","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
109-02,General and Domain-Specific Teaching and Learning,"109 
Educational Research","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",109-02,Allgemeines und fachbezogenes Lehren und Lernen,"109  
Erziehungswissenschaft und Bildungsforschung","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
109-03,Education Systems and Educational Institutions,"109 
Educational Research","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",109-03,Bildungssysteme und Bildungsinstitutionen,"109  
Erziehungswissenschaft und Bildungsforschung","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
109-04,"Educational Research on Socialisation, Welfare and Professionalism Research","109 
Educational Research","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",109-04,Erziehungswissenschaftliche Sozialisations- und Professionalitätsforschung,"109  
Erziehungswissenschaft und Bildungsforschung","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
110-01,"General, Cognitive and Mathematical Psychology","110
Psychology","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",110-01,"Allgemeine, Kognitive und Mathematische Psychologie","110
Psychologie","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
110-02,Biological Psychology and Cognitive Neuroscience,"110
Psychology","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",110-02,Biologische Psychologie und Kognitive Neurowissenschaften,"110
Psychologie","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
110-03,Developmental and Educational Psychology,"110
Psychology","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",110-03,Entwicklungspsychologie und Pädagogische Psychologie,"110
Psychologie","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
110-04,"Social Psychology, Industrial and Organisational Psychology","110
Psychology","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",110-04,Sozialpsychologie und Arbeits- und Organisationspsychologie,"110
Psychologie","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
110-05,"Differential, Clinical and Medical Psychology, Methodology","110
Psychology","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",110-05,"Differentielle, Klinische und Medizinische Psychologie, Methoden","110
Psychologie","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
111-01,Sociological Theory,"111
Social Sciences","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",111-01,Soziologische Theorie,"111 
Sozialwissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
111-02,Empirical Social Research,"111
Social Sciences","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",111-02,Empirische Sozialforschung,"111 
Sozialwissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
111-03,Communication Sciences,"111
Social Sciences","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",111-03,Publizistik und Kommunikationswissenschaft,"111 
Sozialwissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
111-04,Political Science,"111
Social Sciences","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",111-04,Politikwissenschaft,"111 
Sozialwissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
112-01,Economic Theory,"112
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",112-01,Wirtschaftstheorie,"112
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
112-02,"Economic Policy, Applied Economics","112
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",112-02,"Wirtschaftspolitik, Angewandte Volkswirtschaftslehre","112
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
112-03,Business Administration,"112
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",112-03,Betriebswirtschaftslehre,"112
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
112-04,Statistics and Econometrics,"112
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",112-04,Statistik und Ökonometrie,"112
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
112-05,Economic and Social History,"112
Economics","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",112-05,Wirtschafts- und Sozialgeschichte,"112
Wirtschaftswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
113-01,Principles of Law and Jurisprudence,"113
Jurisprudence","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",113-01,Grundlagen des Rechts und der Rechtswissenschaft,"113
Rechtswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
113-02,Private Law,"113
Jurisprudence","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",113-02,Privatrecht,"113
Rechtswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
113-03,Public Law,"113
Jurisprudence","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",113-03,Öffentliches Recht,"113
Rechtswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
113-04,Criminal Law,"113
Jurisprudence","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",113-04,Strafrecht,"113
Rechtswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
113-05,Criminology,"113
Jurisprudence","12
Social and Behavioural Sciences","1 
Humanities and Social Sciences",113-05,Kriminologie,"113
Rechtswissenschaften","12
Sozial- und Verhaltens- wissenschaften","1 
Geistes- und Sozialwissenschaften"
201-01,Biochemistry,"201 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",201-01,Biochemie,"201 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
201-02,Biophysics,"201 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",201-02,Biophysik,"201 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
201-03,Cell Biology,"201 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",201-03,Zellbiologie,"201 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
201-04,Structural Biology,"201 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",201-04,Strukturbiologie,"201 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
201-05,General Genetics and Functional Genome Biology,"201 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",201-05,Allgemeine Genetik und funktionelle Genomforschung,"201 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
201-06,Developmental Biology,"201 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",201-06,Entwicklungsbiologie,"201 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
201-07,Bioinformatics and Theoretical Biology,"201 
Basic Research in Biology and Medicine","21 
Biology","2 
Life Sciences",201-07,Bioinformatik und Theoretische Biologie,"201 
Grundlagen der Biologie und Medizin","21 
Biologie","2 
Lebenswissenschaften"
202-01,Evolution and Systematics of Plants and Fungi,"202 
Plant Sciences","21 
Biology","2 
Life Sciences",202-01,Evolution und Systematik der Pflanzen und Pilze,"202 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
202-02,Ecology and Biodiversity of Plants and Ecosystems,"202 
Plant Sciences","21 
Biology","2 
Life Sciences",202-02,Ökologie und Biodiversität der Pflanzen und Ökosysteme,"202 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
202-03,"Organismic Interactions, Chemical Ecology and Microbiomes of Plant Systems","202 
Plant Sciences","21 
Biology","2 
Life Sciences",202-03,"Organismische Interaktionen, chemische Ökologie und Mikrobiome pflanzlicher Systeme","202 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
202-04,Plant Physiology,"202 
Plant Sciences","21 
Biology","2 
Life Sciences",202-04,Pflanzenphysiologie,"202 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
202-05,Plant Biochemistry and Biophysics,"202 
Plant Sciences","21 
Biology","2 
Life Sciences",202-05,Biochemie und Biophysik der Pflanzen,"202 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
202-06,Plant Cell and Developmental Biology,"202 
Plant Sciences","21 
Biology","2 
Life Sciences",202-06,Zell- und Entwicklungsbiologie der Pflanzen,"202 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
202-07,Plant Genetics,"202 
Plant Sciences","21 
Biology","2 
Life Sciences",202-07,Genetik der Pflanzen,"202 
Pflanzenwissenschaften","21 
Biologie","2 
Lebenswissenschaften"
203-01,Systematics and Morphology (Zoology),"203 
Zoology","21 
Biology","2 
Life Sciences",203-01,Systematik und Morphologie der Tiere,"203 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
203-02,"Evolution, Anthropology","203 
Zoology","21 
Biology","2 
Life Sciences",203-02,"Evolution, Anthropologie","203 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
203-03,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions","203 
Zoology","21 
Biology","2 
Life Sciences",203-03,"Ökologie und Biodiversität der Tiere und Ökosysteme, Organismische Interaktionen","203 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
203-04,Sensory and Behavioural Biology,"203 
Zoology","21 
Biology","2 
Life Sciences",203-04,Biologie des Verhaltens und der Sinne,"203 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
203-05,Animal Physiology and Biochemistry,"203 
Zoology","21 
Biology","2 
Life Sciences",203-05,Biochemie und Physiologie der Tiere,"203 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
203-06,Evolutionary Cell and Developmental Biology (Zoology),"203 
Zoology","21 
Biology","2 
Life Sciences",203-06,Evolutionäre Zell- und Entwicklungsbiologie der Tiere,"203 
Zoologie","21 
Biologie","2 
Lebenswissenschaften"
204-01,"Metabolism, Biochemistry and Genetics of Microorganisms"," 204
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",204-01,"Stoffwechselphysiologie, Biochemie und Genetik der Mikroorganismen"," 204
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
204-02,Microbial Ecology and Applied Microbiology," 204
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",204-02,Mikrobielle Ökologie und Angewandte Mikrobiologie," 204
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
204-03,"Medical Microbiology and Mycology, Hygiene, Molecular Infection Biology"," 204
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",204-03,"Medizinische Mikrobiologie und Mykologie,Hygiene, Molekulare Infektionsbiologie"," 204
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
204-04,Virology," 204
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",204-04,Virologie," 204
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
204-05,Immunology," 204
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",204-05,Immunologie," 204
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
204-06,Parasitology and Biology of Tropical Infectious Disease Pathogens," 204
Microbiology, Virology and Immunology","22 
Medicine","2 
Life Sciences",204-06,Parasitologie und Biologie der Erreger tropischer Infektionskrankheiten," 204
Mikrobiologie, Virologie und Immunologie","22 
Medizin","2 
Lebenswissenschaften"
205-01,Epidemiology and Medical Biometry/Statistics,"205
Medicine","22 
Medicine","2 
Life Sciences",205-01,Epidemiologie und Medizinische Biometrie/Statistik,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-02,"Public Health, Health Services Research, Social Medicine","205
Medicine","22 
Medicine","2 
Life Sciences",205-02,"Public Health, medizinische Versorgungsforschung, Sozialmedizin","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-03,Human Genetics,"205
Medicine","22 
Medicine","2 
Life Sciences",205-03,Humangenetik,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-04,Physiology,"205
Medicine","22 
Medicine","2 
Life Sciences",205-04,Physiologie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-05,Nutritional Sciences,"205
Medicine","22 
Medicine","2 
Life Sciences",205-05,Ernährungswissenschaften,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-06,Pathology,"205
Medicine","22 
Medicine","2 
Life Sciences",205-06,Pathologie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-07,Medical Informatics and Medical Bioinformatics,"205
Medicine","22 
Medicine","2 
Life Sciences",205-07,Medizininformatik und medizinische Bioinformatik,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-08,Pharmacy,"205
Medicine","22 
Medicine","2 
Life Sciences",205-08,Pharmazie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-09,Pharmacology,"205
Medicine","22 
Medicine","2 
Life Sciences",205-09,Pharmakologie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-10,"Toxicology, Occupational Medicine, Clinical Chemistry","205
Medicine","22 
Medicine","2 
Life Sciences",205-10,"Toxikologie, Arbeitsmedizin, Klinische Chemie","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-11,Anaesthesiology,"205
Medicine","22 
Medicine","2 
Life Sciences",205-11,Anästhesiologie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-12,"Cardiology, Angiology","205
Medicine","22 
Medicine","2 
Life Sciences",205-12,"Kardiologie, Angiologie","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-13,"Pneumology, Thoracic Surgery","205
Medicine","22 
Medicine","2 
Life Sciences",205-13,"Pneumologie, Thoraxchirurgie","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-14,"Hematology, Oncology","205
Medicine","22 
Medicine","2 
Life Sciences",205-14,"Hämatologie, Onkologie","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-15,Gastroenterology,"205
Medicine","22 
Medicine","2 
Life Sciences",205-15,Gastroenterologie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-16,Nephrology,"205
Medicine","22 
Medicine","2 
Life Sciences",205-16,Nephrologie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-17,"Endocrinology, Diabetology, Metabolism","205
Medicine","22 
Medicine","2 
Life Sciences",205-17,"Endokrinologie, Diabetologie, Metabolismus","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-18,Rheumatology,"205
Medicine","22 
Medicine","2 
Life Sciences",205-18,Rheumatologie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-19,Dermatology,"205
Medicine","22 
Medicine","2 
Life Sciences",205-19,Dermatologie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-20,Pediatric and Adolescent Medicine,"205
Medicine","22 
Medicine","2 
Life Sciences",205-20,Kinder- und Jugendmedizin,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-21,Gynaecology and Obstetrics,"205
Medicine","22 
Medicine","2 
Life Sciences",205-21,Gynäkologie und Geburtshilfe,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-22,Clinical Immunology and Allergology,"205
Medicine","22 
Medicine","2 
Life Sciences",205-22,Klinische Immunologie und Allergologie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-23,"Reproductive Medicine, Urology","205
Medicine","22 
Medicine","2 
Life Sciences",205-23,"Reproduktionsmedizin, Urologie","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-24,Biogerontology and Geriatric Medicine,"205
Medicine","22 
Medicine","2 
Life Sciences",205-24,Gerontobiologie und Geriatrie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-25,General and Visceral Surgery,"205
Medicine","22 
Medicine","2 
Life Sciences",205-25,Allgemein- und Viszeralchirurgie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-26,Cardiac and Vascular Sugery,"205
Medicine","22 
Medicine","2 
Life Sciences",205-26,Herz- und Gefäßchirurgie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-27,"Orthopaedics, Traumatology, Reconstructive Surgery","205
Medicine","22 
Medicine","2 
Life Sciences",205-27,"Orthopädie, Unfallchirurgie, rekonstruktive Chirurgie","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-28,"Dentistry, Oral Surgery","205
Medicine","22 
Medicine","2 
Life Sciences",205-28,"Zahnheilkunde; Mund-, Kiefer- und Gesichtschirurgie","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-29,Otolaryngology,"205
Medicine","22 
Medicine","2 
Life Sciences",205-29,Hals-Nasen-Ohrenheilkunde,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-30,"Radiology, Nuclear Medicine, Radiotherapy, Radiobiology","205
Medicine","22 
Medicine","2 
Life Sciences",205-30,"Radiologie, Nuklearmedizin, Strahlentherapie, Strahlenbiologie","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-31,Clinical Infectiology and Tropical Medicine,"205
Medicine","22 
Medicine","2 
Life Sciences",205-31,Klinische Infektiologie und Tropenmedizin,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-32,"Medical Physics, Biomedical Technology","205
Medicine","22 
Medicine","2 
Life Sciences",205-32,"Medizinische Physik, Biomedizinische Technik","205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
205-33,Anatomy,"205
Medicine","22 
Medicine","2 
Life Sciences",205-33,Anatomie,"205
Medizin","22 
Medizin","2 
Lebenswissenschaften"
206-01,Developmental Neurobiology,"206
Neurosciences","22 
Medicine","2 
Life Sciences",206-01,Entwicklungsneurobiologie,"206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
206-02,Molecular Biology and Physiology of Neurons and Glial Cells,"206
Neurosciences","22 
Medicine","2 
Life Sciences",206-02,Molekulare Biologie und Physiologie von Nerven- und Gliazellen,"206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
206-03,Experimental and Theoretical Network Neuroscience,"206
Neurosciences","22 
Medicine","2 
Life Sciences",206-03,Experimentelle und theoretische Netzwerk-Neurowissenschaften,"206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
206-04,"Cognitive, Systems and Behavioural Neurobiology","206
Neurosciences","22 
Medicine","2 
Life Sciences",206-04,"Kognitive, systemische und Verhaltensneurobiologie","206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
206-05,Experimental Models for the Understanding of Nervous System Diseases,"206
Neurosciences","22 
Medicine","2 
Life Sciences",206-05,Experimentelle Modelle zum Verständnis von Erkrankungen des Nervensystems,"206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
206-06,Molecular and Cellular Neurology and Neuropathology,"206
Neurosciences","22 
Medicine","2 
Life Sciences",206-06,Molekulare und zelluläre Neurologie und Neuropathologie,"206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
